module.base.base_layer.0.weight [16,3,7,7]
module.base.base_layer.1.weight [16]
module.base.base_layer.1.bias [16]
module.base.base_layer.1.running_mean [16]
module.base.base_layer.1.running_var [16]
module.base.level0.0.weight [16,16,3,3]
module.base.level0.1.weight [16]
module.base.level0.1.bias [16]
module.base.level0.1.running_mean [16]
module.base.level0.1.running_var [16]
module.base.level1.0.weight [32,16,3,3]
module.base.level1.1.weight [32]
module.base.level1.1.bias [32]
module.base.level1.1.running_mean [32]
module.base.level1.1.running_var [32]
module.base.level2.tree1.conv1.weight [64,32,3,3]
module.base.level2.tree1.bn1.weight [64]
module.base.level2.tree1.bn1.bias [64]
module.base.level2.tree1.bn1.running_mean [64]
module.base.level2.tree1.bn1.running_var [64]
module.base.level2.tree1.conv2.weight [64,64,3,3]
module.base.level2.tree1.bn2.weight [64]
module.base.level2.tree1.bn2.bias [64]
module.base.level2.tree1.bn2.running_mean [64]
module.base.level2.tree1.bn2.running_var [64]
module.base.level2.tree2.conv1.weight [64,64,3,3]
module.base.level2.tree2.bn1.weight [64]
module.base.level2.tree2.bn1.bias [64]
module.base.level2.tree2.bn1.running_mean [64]
module.base.level2.tree2.bn1.running_var [64]
module.base.level2.tree2.conv2.weight [64,64,3,3]
module.base.level2.tree2.bn2.weight [64]
module.base.level2.tree2.bn2.bias [64]
module.base.level2.tree2.bn2.running_mean [64]
module.base.level2.tree2.bn2.running_var [64]
module.base.level2.root.conv.weight [64,128,1,1]
module.base.level2.root.bn.weight [64]
module.base.level2.root.bn.bias [64]
module.base.level2.root.bn.running_mean [64]
module.base.level2.root.bn.running_var [64]
module.base.level2.project.0.weight [64,32,1,1]
module.base.level2.project.1.weight [64]
module.base.level2.project.1.bias [64]
module.base.level2.project.1.running_mean [64]
module.base.level2.project.1.running_var [64]
module.base.level3.tree1.tree1.conv1.weight [128,64,3,3]
module.base.level3.tree1.tree1.bn1.weight [128]
module.base.level3.tree1.tree1.bn1.bias [128]
module.base.level3.tree1.tree1.bn1.running_mean [128]
module.base.level3.tree1.tree1.bn1.running_var [128]
module.base.level3.tree1.tree1.conv2.weight [128,128,3,3]
module.base.level3.tree1.tree1.bn2.weight [128]
module.base.level3.tree1.tree1.bn2.bias [128]
module.base.level3.tree1.tree1.bn2.running_mean [128]
module.base.level3.tree1.tree1.bn2.running_var [128]
module.base.level3.tree1.tree2.conv1.weight [128,128,3,3]
module.base.level3.tree1.tree2.bn1.weight [128]
module.base.level3.tree1.tree2.bn1.bias [128]
module.base.level3.tree1.tree2.bn1.running_mean [128]
module.base.level3.tree1.tree2.bn1.running_var [128]
module.base.level3.tree1.tree2.conv2.weight [128,128,3,3]
module.base.level3.tree1.tree2.bn2.weight [128]
module.base.level3.tree1.tree2.bn2.bias [128]
module.base.level3.tree1.tree2.bn2.running_mean [128]
module.base.level3.tree1.tree2.bn2.running_var [128]
module.base.level3.tree1.root.conv.weight [128,256,1,1]
module.base.level3.tree1.root.bn.weight [128]
module.base.level3.tree1.root.bn.bias [128]
module.base.level3.tree1.root.bn.running_mean [128]
module.base.level3.tree1.root.bn.running_var [128]
module.base.level3.tree1.project.0.weight [128,64,1,1]
module.base.level3.tree1.project.1.weight [128]
module.base.level3.tree1.project.1.bias [128]
module.base.level3.tree1.project.1.running_mean [128]
module.base.level3.tree1.project.1.running_var [128]
module.base.level3.tree2.tree1.conv1.weight [128,128,3,3]
module.base.level3.tree2.tree1.bn1.weight [128]
module.base.level3.tree2.tree1.bn1.bias [128]
module.base.level3.tree2.tree1.bn1.running_mean [128]
module.base.level3.tree2.tree1.bn1.running_var [128]
module.base.level3.tree2.tree1.conv2.weight [128,128,3,3]
module.base.level3.tree2.tree1.bn2.weight [128]
module.base.level3.tree2.tree1.bn2.bias [128]
module.base.level3.tree2.tree1.bn2.running_mean [128]
module.base.level3.tree2.tree1.bn2.running_var [128]
module.base.level3.tree2.tree2.conv1.weight [128,128,3,3]
module.base.level3.tree2.tree2.bn1.weight [128]
module.base.level3.tree2.tree2.bn1.bias [128]
module.base.level3.tree2.tree2.bn1.running_mean [128]
module.base.level3.tree2.tree2.bn1.running_var [128]
module.base.level3.tree2.tree2.conv2.weight [128,128,3,3]
module.base.level3.tree2.tree2.bn2.weight [128]
module.base.level3.tree2.tree2.bn2.bias [128]
module.base.level3.tree2.tree2.bn2.running_mean [128]
module.base.level3.tree2.tree2.bn2.running_var [128]
module.base.level3.tree2.root.conv.weight [128,448,1,1]
module.base.level3.tree2.root.bn.weight [128]
module.base.level3.tree2.root.bn.bias [128]
module.base.level3.tree2.root.bn.running_mean [128]
module.base.level3.tree2.root.bn.running_var [128]
module.base.level3.project.0.weight [128,64,1,1]
module.base.level3.project.1.weight [128]
module.base.level3.project.1.bias [128]
module.base.level3.project.1.running_mean [128]
module.base.level3.project.1.running_var [128]
module.base.level4.tree1.tree1.conv1.weight [256,128,3,3]
module.base.level4.tree1.tree1.bn1.weight [256]
module.base.level4.tree1.tree1.bn1.bias [256]
module.base.level4.tree1.tree1.bn1.running_mean [256]
module.base.level4.tree1.tree1.bn1.running_var [256]
module.base.level4.tree1.tree1.conv2.weight [256,256,3,3]
module.base.level4.tree1.tree1.bn2.weight [256]
module.base.level4.tree1.tree1.bn2.bias [256]
module.base.level4.tree1.tree1.bn2.running_mean [256]
module.base.level4.tree1.tree1.bn2.running_var [256]
module.base.level4.tree1.tree2.conv1.weight [256,256,3,3]
module.base.level4.tree1.tree2.bn1.weight [256]
module.base.level4.tree1.tree2.bn1.bias [256]
module.base.level4.tree1.tree2.bn1.running_mean [256]
module.base.level4.tree1.tree2.bn1.running_var [256]
module.base.level4.tree1.tree2.conv2.weight [256,256,3,3]
module.base.level4.tree1.tree2.bn2.weight [256]
module.base.level4.tree1.tree2.bn2.bias [256]
module.base.level4.tree1.tree2.bn2.running_mean [256]
module.base.level4.tree1.tree2.bn2.running_var [256]
module.base.level4.tree1.root.conv.weight [256,512,1,1]
module.base.level4.tree1.root.bn.weight [256]
module.base.level4.tree1.root.bn.bias [256]
module.base.level4.tree1.root.bn.running_mean [256]
module.base.level4.tree1.root.bn.running_var [256]
module.base.level4.tree1.project.0.weight [256,128,1,1]
module.base.level4.tree1.project.1.weight [256]
module.base.level4.tree1.project.1.bias [256]
module.base.level4.tree1.project.1.running_mean [256]
module.base.level4.tree1.project.1.running_var [256]
module.base.level4.tree2.tree1.conv1.weight [256,256,3,3]
module.base.level4.tree2.tree1.bn1.weight [256]
module.base.level4.tree2.tree1.bn1.bias [256]
module.base.level4.tree2.tree1.bn1.running_mean [256]
module.base.level4.tree2.tree1.bn1.running_var [256]
module.base.level4.tree2.tree1.conv2.weight [256,256,3,3]
module.base.level4.tree2.tree1.bn2.weight [256]
module.base.level4.tree2.tree1.bn2.bias [256]
module.base.level4.tree2.tree1.bn2.running_mean [256]
module.base.level4.tree2.tree1.bn2.running_var [256]
module.base.level4.tree2.tree2.conv1.weight [256,256,3,3]
module.base.level4.tree2.tree2.bn1.weight [256]
module.base.level4.tree2.tree2.bn1.bias [256]
module.base.level4.tree2.tree2.bn1.running_mean [256]
module.base.level4.tree2.tree2.bn1.running_var [256]
module.base.level4.tree2.tree2.conv2.weight [256,256,3,3]
module.base.level4.tree2.tree2.bn2.weight [256]
module.base.level4.tree2.tree2.bn2.bias [256]
module.base.level4.tree2.tree2.bn2.running_mean [256]
module.base.level4.tree2.tree2.bn2.running_var [256]
module.base.level4.tree2.root.conv.weight [256,896,1,1]
module.base.level4.tree2.root.bn.weight [256]
module.base.level4.tree2.root.bn.bias [256]
module.base.level4.tree2.root.bn.running_mean [256]
module.base.level4.tree2.root.bn.running_var [256]
module.base.level4.project.0.weight [256,128,1,1]
module.base.level4.project.1.weight [256]
module.base.level4.project.1.bias [256]
module.base.level4.project.1.running_mean [256]
module.base.level4.project.1.running_var [256]
module.base.level5.tree1.conv1.weight [512,256,3,3]
module.base.level5.tree1.bn1.weight [512]
module.base.level5.tree1.bn1.bias [512]
module.base.level5.tree1.bn1.running_mean [512]
module.base.level5.tree1.bn1.running_var [512]
module.base.level5.tree1.conv2.weight [512,512,3,3]
module.base.level5.tree1.bn2.weight [512]
module.base.level5.tree1.bn2.bias [512]
module.base.level5.tree1.bn2.running_mean [512]
module.base.level5.tree1.bn2.running_var [512]
module.base.level5.tree2.conv1.weight [512,512,3,3]
module.base.level5.tree2.bn1.weight [512]
module.base.level5.tree2.bn1.bias [512]
module.base.level5.tree2.bn1.running_mean [512]
module.base.level5.tree2.bn1.running_var [512]
module.base.level5.tree2.conv2.weight [512,512,3,3]
module.base.level5.tree2.bn2.weight [512]
module.base.level5.tree2.bn2.bias [512]
module.base.level5.tree2.bn2.running_mean [512]
module.base.level5.tree2.bn2.running_var [512]
module.base.level5.root.conv.weight [512,1280,1,1]
module.base.level5.root.bn.weight [512]
