conv1_weights                                      backbone.conv1.conv1.conv.weight                  
bn_conv1_scale                                     backbone.conv1.conv1.norm.weight                  
bn_conv1_offset                                    backbone.conv1.conv1.norm.bias                    
res2a_branch2a_weights                             backbone.res2.res2a.branch2a.conv.weight          
bn2a_branch2a_scale                                backbone.res2.res2a.branch2a.norm.weight                   
bn2a_branch2a_offset                               backbone.res2.res2a.branch2a.norm.bias               
res2a_branch2b_weights                             backbone.res2.res2a.branch2b.conv.weight          
bn2a_branch2b_scale                                backbone.res2.res2a.branch2b.norm.weight          
bn2a_branch2b_offset                               backbone.res2.res2a.branch2b.norm.bias            
res2a_branch2c_weights                             backbone.res2.res2a.branch2c.conv.weight             
bn2a_branch2c_scale                                backbone.res2.res2a.branch2c.norm.weight             
bn2a_branch2c_offset                               backbone.res2.res2a.branch2c.norm.bias               
res2a_branch1_weights                              backbone.res2.res2a.short.conv.weight          
bn2a_branch1_scale                                 backbone.res2.res2a.short.norm.weight              
bn2a_branch1_offset                                backbone.res2.res2a.short.norm.bias          
res2b_branch2a_weights                             backbone.res2.res2b.branch2a.conv.weight          
bn2b_branch2a_scale                                backbone.res2.res2b.branch2a.norm.weight          
bn2b_branch2a_offset                               backbone.res2.res2b.branch2a.norm.bias            
res2b_branch2b_weights                             backbone.res2.res2b.branch2b.conv.weight          
bn2b_branch2b_scale                                backbone.res2.res2b.branch2b.norm.weight           
bn2b_branch2b_offset                               backbone.res2.res2b.branch2b.norm.bias       
res2b_branch2c_weights                             backbone.res2.res2b.branch2c.conv.weight          
bn2b_branch2c_scale                                backbone.res2.res2b.branch2c.norm.weight          
bn2b_branch2c_offset                               backbone.res2.res2b.branch2c.norm.bias            
res2c_branch2a_weights                             backbone.res2.res2c.branch2a.conv.weight          
bn2c_branch2a_scale                                backbone.res2.res2c.branch2a.norm.weight           
bn2c_branch2a_offset                               backbone.res2.res2c.branch2a.norm.bias       
res2c_branch2b_weights                             backbone.res2.res2c.branch2b.conv.weight          
bn2c_branch2b_scale                                backbone.res2.res2c.branch2b.norm.weight          
bn2c_branch2b_offset                               backbone.res2.res2c.branch2b.norm.bias            
res2c_branch2c_weights                             backbone.res2.res2c.branch2c.conv.weight          
bn2c_branch2c_scale                                backbone.res2.res2c.branch2c.norm.weight          
bn2c_branch2c_offset                               backbone.res2.res2c.branch2c.norm.bias            
res3a_branch2a_weights                             backbone.res3.res3a.branch2a.conv.weight          
bn3a_branch2a_scale                                backbone.res3.res3a.branch2a.norm.weight          
bn3a_branch2a_offset                               backbone.res3.res3a.branch2a.norm.bias            
res3a_branch2b_weights                             backbone.res3.res3a.branch2b.conv.weight          
bn3a_branch2b_scale                                backbone.res3.res3a.branch2b.norm.weight          
bn3a_branch2b_offset                               backbone.res3.res3a.branch2b.norm.bias            
res3a_branch2c_weights                             backbone.res3.res3a.branch2c.conv.weight          
bn3a_branch2c_scale                                backbone.res3.res3a.branch2c.norm.weight          
bn3a_branch2c_offset                               backbone.res3.res3a.branch2c.norm.bias            
res3a_branch1_weights                              backbone.res3.res3a.short.conv.weight             
bn3a_branch1_scale                                 backbone.res3.res3a.short.norm.weight             
bn3a_branch1_offset                                backbone.res3.res3a.short.norm.bias               
res3b_branch2a_weights                             backbone.res3.res3b.branch2a.conv.weight          
bn3b_branch2a_scale                                backbone.res3.res3b.branch2a.norm.weight          
bn3b_branch2a_offset                               backbone.res3.res3b.branch2a.norm.bias            
res3b_branch2b_weights                             backbone.res3.res3b.branch2b.conv.weight          
bn3b_branch2b_scale                                backbone.res3.res3b.branch2b.norm.weight          
bn3b_branch2b_offset                               backbone.res3.res3b.branch2b.norm.bias            
res3b_branch2c_weights                             backbone.res3.res3b.branch2c.conv.weight          
bn3b_branch2c_scale                                backbone.res3.res3b.branch2c.norm.weight          
bn3b_branch2c_offset                               backbone.res3.res3b.branch2c.norm.bias            
res3c_branch2a_weights                             backbone.res3.res3c.branch2a.conv.weight          
bn3c_branch2a_scale                                backbone.res3.res3c.branch2a.norm.weight          
bn3c_branch2a_offset                               backbone.res3.res3c.branch2a.norm.bias            
res3c_branch2b_weights                             backbone.res3.res3c.branch2b.conv.weight          
bn3c_branch2b_scale                                backbone.res3.res3c.branch2b.norm.weight          
bn3c_branch2b_offset                               backbone.res3.res3c.branch2b.norm.bias            
res3c_branch2c_weights                             backbone.res3.res3c.branch2c.conv.weight          
bn3c_branch2c_scale                                backbone.res3.res3c.branch2c.norm.weight          
bn3c_branch2c_offset                               backbone.res3.res3c.branch2c.norm.bias            
res3d_branch2a_weights                             backbone.res3.res3d.branch2a.conv.weight          
bn3d_branch2a_scale                                backbone.res3.res3d.branch2a.norm.weight          
bn3d_branch2a_offset                               backbone.res3.res3d.branch2a.norm.bias            
res3d_branch2b_weights                             backbone.res3.res3d.branch2b.conv.weight          
bn3d_branch2b_scale                                backbone.res3.res3d.branch2b.norm.weight          
bn3d_branch2b_offset                               backbone.res3.res3d.branch2b.norm.bias            
res3d_branch2c_weights                             backbone.res3.res3d.branch2c.conv.weight          
bn3d_branch2c_scale                                backbone.res3.res3d.branch2c.norm.weight          
bn3d_branch2c_offset                               backbone.res3.res3d.branch2c.norm.bias            
res4a_branch2a_weights                             backbone.res4.res4a.branch2a.conv.weight          
bn4a_branch2a_scale                                backbone.res4.res4a.branch2a.norm.weight           
bn4a_branch2a_offset                               backbone.res4.res4a.branch2a.norm.bias       
res4a_branch2b_weights                             backbone.res4.res4a.branch2b.conv.weight          
bn4a_branch2b_scale                                backbone.res4.res4a.branch2b.norm.weight          
bn4a_branch2b_offset                               backbone.res4.res4a.branch2b.norm.bias            
res4a_branch2c_weights                             backbone.res4.res4a.branch2c.conv.weight          
bn4a_branch2c_scale                                backbone.res4.res4a.branch2c.norm.weight          
bn4a_branch2c_offset                               backbone.res4.res4a.branch2c.norm.bias            
res4a_branch1_weights                              backbone.res4.res4a.short.conv.weight             
bn4a_branch1_scale                                 backbone.res4.res4a.short.norm.weight             
bn4a_branch1_offset                                backbone.res4.res4a.short.norm.bias               
res4b_branch2a_weights                             backbone.res4.res4b.branch2a.conv.weight          
bn4b_branch2a_scale                                backbone.res4.res4b.branch2a.norm.weight          
bn4b_branch2a_offset                               backbone.res4.res4b.branch2a.norm.bias            
res4b_branch2b_weights                             backbone.res4.res4b.branch2b.conv.weight          
bn4b_branch2b_scale                                backbone.res4.res4b.branch2b.norm.weight          
bn4b_branch2b_offset                               backbone.res4.res4b.branch2b.norm.bias            
res4b_branch2c_weights                             backbone.res4.res4b.branch2c.conv.weight          
bn4b_branch2c_scale                                backbone.res4.res4b.branch2c.norm.weight          
bn4b_branch2c_offset                               backbone.res4.res4b.branch2c.norm.bias            
res4c_branch2a_weights                             backbone.res4.res4c.branch2a.conv.weight          
bn4c_branch2a_scale                                backbone.res4.res4c.branch2a.norm.weight          
bn4c_branch2a_offset                               backbone.res4.res4c.branch2a.norm.bias            
res4c_branch2b_weights                             backbone.res4.res4c.branch2b.conv.weight          
bn4c_branch2b_scale                                backbone.res4.res4c.branch2b.norm.weight          
bn4c_branch2b_offset                               backbone.res4.res4c.branch2b.norm.bias            
res4c_branch2c_weights                             backbone.res4.res4c.branch2c.conv.weight          
bn4c_branch2c_scale                                backbone.res4.res4c.branch2c.norm.weight          
bn4c_branch2c_offset                               backbone.res4.res4c.branch2c.norm.bias            
res4d_branch2a_weights                             backbone.res4.res4d.branch2a.conv.weight          
bn4d_branch2a_scale                                backbone.res4.res4d.branch2a.norm.weight          
bn4d_branch2a_offset                               backbone.res4.res4d.branch2a.norm.bias            
res4d_branch2b_weights                             backbone.res4.res4d.branch2b.conv.weight          
bn4d_branch2b_scale                                backbone.res4.res4d.branch2b.norm.weight          
bn4d_branch2b_offset                               backbone.res4.res4d.branch2b.norm.bias            
res4d_branch2c_weights                             backbone.res4.res4d.branch2c.conv.weight          
bn4d_branch2c_scale                                backbone.res4.res4d.branch2c.norm.weight          
bn4d_branch2c_offset                               backbone.res4.res4d.branch2c.norm.bias            
res4e_branch2a_weights                             backbone.res4.res4e.branch2a.conv.weight          
bn4e_branch2a_scale                                backbone.res4.res4e.branch2a.norm.weight          
bn4e_branch2a_offset                               backbone.res4.res4e.branch2a.norm.bias            
res4e_branch2b_weights                             backbone.res4.res4e.branch2b.conv.weight          
bn4e_branch2b_scale                                backbone.res4.res4e.branch2b.norm.weight          
bn4e_branch2b_offset                               backbone.res4.res4e.branch2b.norm.bias            
res4e_branch2c_weights                             backbone.res4.res4e.branch2c.conv.weight          
bn4e_branch2c_scale                                backbone.res4.res4e.branch2c.norm.weight          
bn4e_branch2c_offset                               backbone.res4.res4e.branch2c.norm.bias            
res4f_branch2a_weights                             backbone.res4.res4f.branch2a.conv.weight          
bn4f_branch2a_scale                                backbone.res4.res4f.branch2a.norm.weight          
bn4f_branch2a_offset                               backbone.res4.res4f.branch2a.norm.bias            
res4f_branch2b_weights                             backbone.res4.res4f.branch2b.conv.weight          
bn4f_branch2b_scale                                backbone.res4.res4f.branch2b.norm.weight          
bn4f_branch2b_offset                               backbone.res4.res4f.branch2b.norm.bias            
res4f_branch2c_weights                             backbone.res4.res4f.branch2c.conv.weight          
bn4f_branch2c_scale                                backbone.res4.res4f.branch2c.norm.weight          
bn4f_branch2c_offset                               backbone.res4.res4f.branch2c.norm.bias            
res5a_branch2a_weights                             backbone.res5.res5a.branch2a.conv.weight          
bn5a_branch2a_scale                                backbone.res5.res5a.branch2a.norm.weight          
bn5a_branch2a_offset                               backbone.res5.res5a.branch2a.norm.bias            
res5a_branch2b_weights                             backbone.res5.res5a.branch2b.conv.weight          
bn5a_branch2b_scale                                backbone.res5.res5a.branch2b.norm.weight          
bn5a_branch2b_offset                               backbone.res5.res5a.branch2b.norm.bias            
res5a_branch2c_weights                             backbone.res5.res5a.branch2c.conv.weight          
bn5a_branch2c_scale                                backbone.res5.res5a.branch2c.norm.weight          
bn5a_branch2c_offset                               backbone.res5.res5a.branch2c.norm.bias            
res5a_branch1_weights                              backbone.res5.res5a.short.conv.weight             
bn5a_branch1_scale                                 backbone.res5.res5a.short.norm.weight             
bn5a_branch1_offset                                backbone.res5.res5a.short.norm.bias               
res5b_branch2a_weights                             backbone.res5.res5b.branch2a.conv.weight          
bn5b_branch2a_scale                                backbone.res5.res5b.branch2a.norm.weight          
bn5b_branch2a_offset                               backbone.res5.res5b.branch2a.norm.bias            
res5b_branch2b_weights                             backbone.res5.res5b.branch2b.conv.weight          
bn5b_branch2b_scale                                backbone.res5.res5b.branch2b.norm.weight          
bn5b_branch2b_offset                               backbone.res5.res5b.branch2b.norm.bias            
res5b_branch2c_weights                             backbone.res5.res5b.branch2c.conv.weight          
bn5b_branch2c_scale                                backbone.res5.res5b.branch2c.norm.weight          
bn5b_branch2c_offset                               backbone.res5.res5b.branch2c.norm.bias            
res5c_branch2a_weights                             backbone.res5.res5c.branch2a.conv.weight          
bn5c_branch2a_scale                                backbone.res5.res5c.branch2a.norm.weight          
bn5c_branch2a_offset                               backbone.res5.res5c.branch2a.norm.bias            
res5c_branch2b_weights                             backbone.res5.res5c.branch2b.conv.weight          
bn5c_branch2b_scale                                backbone.res5.res5c.branch2b.norm.weight          
bn5c_branch2b_offset                               backbone.res5.res5c.branch2b.norm.bias            
res5c_branch2c_weights                             backbone.res5.res5c.branch2c.conv.weight          
bn5c_branch2c_scale                                backbone.res5.res5c.branch2c.norm.weight          
bn5c_branch2c_offset                               backbone.res5.res5c.branch2c.norm.bias  
fpn_inner_res5_sum_w                               neck.fpn_inner_res5_sum.weight                    
fpn_inner_res5_sum_b                               neck.fpn_inner_res5_sum.bias                      
fpn_inner_res4_sum_lateral_w                       neck.fpn_inner_res4_sum_lateral.weight            
fpn_inner_res4_sum_lateral_b                       neck.fpn_inner_res4_sum_lateral.bias              
fpn_inner_res3_sum_lateral_w                       neck.fpn_inner_res3_sum_lateral.weight            
fpn_inner_res3_sum_lateral_b                       neck.fpn_inner_res3_sum_lateral.bias              
fpn_res5_sum_w                                     neck.fpn_res5_sum.weight                          
fpn_res5_sum_b                                     neck.fpn_res5_sum.bias                            
fpn_res4_sum_w                                     neck.fpn_res4_sum.weight                          
fpn_res4_sum_b                                     neck.fpn_res4_sum.bias                            
fpn_res3_sum_w                                     neck.fpn_res3_sum.weight                          
fpn_res3_sum_b                                     neck.fpn_res3_sum.bias                            
fpn_6_w                                            neck.fpn_6.weight                                 
fpn_6_b                                            neck.fpn_6.bias                                   
fpn_7_w                                            neck.fpn_7.weight                                 
fpn_7_b                                            neck.fpn_7.bias                                    
fcos_head_cls_tower_conv_0_weights                 fcos_head.fcos_feat.fcos_head_cls_tower_conv_0.conv.weight
fcos_head_cls_tower_conv_0_bias                    fcos_head.fcos_feat.fcos_head_cls_tower_conv_0.conv.bias
fcos_head_cls_tower_conv_0_norm_scale              fcos_head.fcos_feat.fcos_head_cls_tower_conv_0.norm.weight
fcos_head_cls_tower_conv_0_norm_offset             fcos_head.fcos_feat.fcos_head_cls_tower_conv_0.norm.bias 
fcos_head_reg_tower_conv_0_weights                 fcos_head.fcos_feat.fcos_head_reg_tower_conv_0.conv.weight
fcos_head_reg_tower_conv_0_bias                    fcos_head.fcos_feat.fcos_head_reg_tower_conv_0.conv.bias     
fcos_head_reg_tower_conv_0_norm_scale              fcos_head.fcos_feat.fcos_head_reg_tower_conv_0.norm.weight             
fcos_head_reg_tower_conv_0_norm_offset             fcos_head.fcos_feat.fcos_head_reg_tower_conv_0.norm.bias  
fcos_head_cls_tower_conv_1_weights                 fcos_head.fcos_feat.fcos_head_cls_tower_conv_1.conv.weight
fcos_head_cls_tower_conv_1_bias                    fcos_head.fcos_feat.fcos_head_cls_tower_conv_1.conv.bias  
fcos_head_cls_tower_conv_1_norm_scale              fcos_head.fcos_feat.fcos_head_cls_tower_conv_1.norm.weight
fcos_head_cls_tower_conv_1_norm_offset             fcos_head.fcos_feat.fcos_head_cls_tower_conv_1.norm.bias 
fcos_head_reg_tower_conv_1_weights                 fcos_head.fcos_feat.fcos_head_reg_tower_conv_1.conv.weight
fcos_head_reg_tower_conv_1_bias                    fcos_head.fcos_feat.fcos_head_reg_tower_conv_1.conv.bias
fcos_head_reg_tower_conv_1_norm_scale              fcos_head.fcos_feat.fcos_head_reg_tower_conv_1.norm.weight
fcos_head_reg_tower_conv_1_norm_offset             fcos_head.fcos_feat.fcos_head_reg_tower_conv_1.norm.bias
fcos_head_cls_tower_conv_2_weights                 fcos_head.fcos_feat.fcos_head_cls_tower_conv_2.conv.weight
fcos_head_cls_tower_conv_2_bias                    fcos_head.fcos_feat.fcos_head_cls_tower_conv_2.conv.bias
fcos_head_cls_tower_conv_2_norm_scale              fcos_head.fcos_feat.fcos_head_cls_tower_conv_2.norm.weight
fcos_head_cls_tower_conv_2_norm_offset             fcos_head.fcos_feat.fcos_head_cls_tower_conv_2.norm.bias         
fcos_head_reg_tower_conv_2_weights                 fcos_head.fcos_feat.fcos_head_reg_tower_conv_2.conv.weight
fcos_head_reg_tower_conv_2_bias                    fcos_head.fcos_feat.fcos_head_reg_tower_conv_2.conv.bias
fcos_head_reg_tower_conv_2_norm_scale              fcos_head.fcos_feat.fcos_head_reg_tower_conv_2.norm.weight             
fcos_head_reg_tower_conv_2_norm_offset             fcos_head.fcos_feat.fcos_head_reg_tower_conv_2.norm.bias  
fcos_head_cls_tower_conv_3_weights                 fcos_head.fcos_feat.fcos_head_cls_tower_conv_3.conv.weight
fcos_head_cls_tower_conv_3_bias                    fcos_head.fcos_feat.fcos_head_cls_tower_conv_3.conv.bias
fcos_head_cls_tower_conv_3_norm_scale              fcos_head.fcos_feat.fcos_head_cls_tower_conv_3.norm.weight 
fcos_head_cls_tower_conv_3_norm_offset             fcos_head.fcos_feat.fcos_head_cls_tower_conv_3.norm.bias      
fcos_head_reg_tower_conv_3_weights                 fcos_head.fcos_feat.fcos_head_reg_tower_conv_3.conv.weight
fcos_head_reg_tower_conv_3_bias                    fcos_head.fcos_feat.fcos_head_reg_tower_conv_3.conv.bias
fcos_head_reg_tower_conv_3_norm_scale              fcos_head.fcos_feat.fcos_head_reg_tower_conv_3.norm.weight
fcos_head_reg_tower_conv_3_norm_offset             fcos_head.fcos_feat.fcos_head_reg_tower_conv_3.norm.bias      
fcos_head_cls_weights                              fcos_head.fcos_head_cls.weight                    
fcos_head_cls_bias                                 fcos_head.fcos_head_cls.bias                      
fcos_head_reg_weights                              fcos_head.fcos_head_reg.weight                    
fcos_head_reg_bias                                 fcos_head.fcos_head_reg.bias                      
fcos_head_centerness_weights                       fcos_head.fcos_head_centerness.weight
fcos_head_centerness_bias                          fcos_head.fcos_head_centerness.bias
fpn_res3_sum_scale_on_reg                          fcos_head.p3_feat.scale_reg                          
fpn_res4_sum_scale_on_reg                          fcos_head.p4_feat.scale_reg 
fpn_res5_sum_scale_on_reg                          fcos_head.p5_feat.scale_reg 
fpn_6_scale_on_reg                                 fcos_head.p6_feat.scale_reg 
fpn_7_scale_on_reg                                 fcos_head.p7_feat.scale_reg
