conv1_weights                                      backbone.conv1.conv.weight                        
conv1_bn_scale                                     backbone.conv1.bn.weight                          
conv1_bn_offset                                    backbone.conv1.bn.bias                            
conv1_bn_mean                                      backbone.conv1.bn._mean                           
conv1_bn_variance                                  backbone.conv1.bn._variance                       
conv2_expand_weights                               backbone.conv2.expand_conv.conv.weight            
conv2_expand_bn_scale                              backbone.conv2.expand_conv.bn.weight              
conv2_expand_bn_offset                             backbone.conv2.expand_conv.bn.bias                
conv2_expand_bn_mean                               backbone.conv2.expand_conv.bn._mean               
conv2_expand_bn_variance                           backbone.conv2.expand_conv.bn._variance           
conv2_depthwise_weights                            backbone.conv2.bottleneck_conv.conv.weight        
conv2_depthwise_bn_scale                           backbone.conv2.bottleneck_conv.bn.weight          
conv2_depthwise_bn_offset                          backbone.conv2.bottleneck_conv.bn.bias            
conv2_depthwise_bn_mean                            backbone.conv2.bottleneck_conv.bn._mean           
conv2_depthwise_bn_variance                        backbone.conv2.bottleneck_conv.bn._variance       
conv2_linear_weights                               backbone.conv2.linear_conv.conv.weight            
conv2_linear_bn_scale                              backbone.conv2.linear_conv.bn.weight              
conv2_linear_bn_offset                             backbone.conv2.linear_conv.bn.bias                
conv2_linear_bn_mean                               backbone.conv2.linear_conv.bn._mean               
conv2_linear_bn_variance                           backbone.conv2.linear_conv.bn._variance           
conv3_expand_weights                               backbone.conv3.expand_conv.conv.weight            
conv3_expand_bn_scale                              backbone.conv3.expand_conv.bn.weight              
conv3_expand_bn_offset                             backbone.conv3.expand_conv.bn.bias                
conv3_expand_bn_mean                               backbone.conv3.expand_conv.bn._mean               
conv3_expand_bn_variance                           backbone.conv3.expand_conv.bn._variance           
conv3_depthwise_weights                            backbone.conv3.bottleneck_conv.conv.weight        
conv3_depthwise_bn_scale                           backbone.conv3.bottleneck_conv.bn.weight          
conv3_depthwise_bn_offset                          backbone.conv3.bottleneck_conv.bn.bias            
conv3_depthwise_bn_mean                            backbone.conv3.bottleneck_conv.bn._mean           
conv3_depthwise_bn_variance                        backbone.conv3.bottleneck_conv.bn._variance       
conv3_linear_weights                               backbone.conv3.linear_conv.conv.weight            
conv3_linear_bn_scale                              backbone.conv3.linear_conv.bn.weight              
conv3_linear_bn_offset                             backbone.conv3.linear_conv.bn.bias                
conv3_linear_bn_mean                               backbone.conv3.linear_conv.bn._mean               
conv3_linear_bn_variance                           backbone.conv3.linear_conv.bn._variance           
conv4_expand_weights                               backbone.conv4.expand_conv.conv.weight            
conv4_expand_bn_scale                              backbone.conv4.expand_conv.bn.weight              
conv4_expand_bn_offset                             backbone.conv4.expand_conv.bn.bias                
conv4_expand_bn_mean                               backbone.conv4.expand_conv.bn._mean               
conv4_expand_bn_variance                           backbone.conv4.expand_conv.bn._variance           
conv4_depthwise_weights                            backbone.conv4.bottleneck_conv.conv.weight        
conv4_depthwise_bn_scale                           backbone.conv4.bottleneck_conv.bn.weight          
conv4_depthwise_bn_offset                          backbone.conv4.bottleneck_conv.bn.bias            
conv4_depthwise_bn_mean                            backbone.conv4.bottleneck_conv.bn._mean           
conv4_depthwise_bn_variance                        backbone.conv4.bottleneck_conv.bn._variance       
conv4_linear_weights                               backbone.conv4.linear_conv.conv.weight            
conv4_linear_bn_scale                              backbone.conv4.linear_conv.bn.weight              
conv4_linear_bn_offset                             backbone.conv4.linear_conv.bn.bias                
conv4_linear_bn_mean                               backbone.conv4.linear_conv.bn._mean               
conv4_linear_bn_variance                           backbone.conv4.linear_conv.bn._variance           
conv5_expand_weights                               backbone.conv5.expand_conv.conv.weight            
conv5_expand_bn_scale                              backbone.conv5.expand_conv.bn.weight              
conv5_expand_bn_offset                             backbone.conv5.expand_conv.bn.bias                
conv5_expand_bn_mean                               backbone.conv5.expand_conv.bn._mean               
conv5_expand_bn_variance                           backbone.conv5.expand_conv.bn._variance           
conv5_depthwise_weights                            backbone.conv5.bottleneck_conv.conv.weight        
conv5_depthwise_bn_scale                           backbone.conv5.bottleneck_conv.bn.weight          
conv5_depthwise_bn_offset                          backbone.conv5.bottleneck_conv.bn.bias            
conv5_depthwise_bn_mean                            backbone.conv5.bottleneck_conv.bn._mean           
conv5_depthwise_bn_variance                        backbone.conv5.bottleneck_conv.bn._variance       
conv5_se_1_weights                                 backbone.conv5.mid_se.conv1.weight                
conv5_se_1_offset                                  backbone.conv5.mid_se.conv1.bias                  
conv5_se_2_weights                                 backbone.conv5.mid_se.conv2.weight                
conv5_se_2_offset                                  backbone.conv5.mid_se.conv2.bias                  
